STAID,LAT_GAGE,LNG_GAGE,HYDRO_DISTURB_INDX,BAS_COMPACTNESS,DRAIN_SQKM,GEOL_REEDBUSH_DOM,GEOL_REEDBUSH_DOM_PCT,SNOW_PCT_PRECIP,STREAMS_KM_SQ_KM,STRAHLER_MAX,MAINSTEM_SINUOUSITY,BFI_AVE,CONTACT,PCT_1ST_ORDER,PCT_2ND_ORDER,PCT_3RD_ORDER,PCT_4TH_ORDER,PCT_5TH_ORDER,PCT_6TH_ORDER_OR_MORE,DDENS_2009,STOR_NOR_2009,NPDES_MAJ_DENS,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,WOODYWETNLCD06,EMERGWETNLCD06,NITR_APP_KG_SQKM,PHOS_APP_KG_SQKM,PESTAPP_KG_SQKM,ECO2_BAS_DOM,ECO3_BAS_DOM,NUTR_BAS_DOM,HLR_BAS_DOM_100M,PNV_BAS_DOM,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,CLAYAVE,SILTAVE,KFACT_UP,RFACT,ELEV_MEAN_M_BASIN,SLOPE_PCT,ASPECT_DEGREES,Group
1645704,38.884695,-77.332429,17,3.15,14.2,1,100.0,11.2,0.67,2,1.3,26.0,106.6,78.74,21.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.52,34.99,2.08,0.32,1.51,0.0,1229.2,263.1,0.2,8.3,45,9,7,49,0.14,1.99,1.36,0.5,4.45,56.93,22.45,47.77,0.34,149.2,122.7,3.2,26.3,Urban
1645762,38.908889,-77.338263,19,2.48,7.0,1,100.0,12.0,0.68,2,1.14,26.5,101.0,85.38,14.62,0.0,0.0,0.0,0.0,14.28,10.57,0.0,38.97,55.12,1.43,0.0,3.38,0.0,1198.1,257.8,7.6,8.3,45,9,7,49,0.15,2.04,1.36,0.52,5.33,58.67,17.48,52.49,0.34,148.09,119.0,3.4,16.1,Urban
1646305,38.95978,-77.17567,18,2.67,5.4,1,100.0,10.5,0.62,1,1.07,36.1,101.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.14,24.86,2.03,0.0,0.82,0.0,2474.4,525.6,0.0,8.3,64,9,7,55,0.13,2.28,1.35,0.39,5.47,57.94,24.0,40.53,0.31,151.12,83.8,2.7,26.1,Urban
1649190,39.033139,-76.964278,20,2.47,34.0,1,100.0,11.9,0.7,2,1.3,49.1,255.4,62.51,37.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.34,32.02,7.14,0.02,2.06,0.0,3351.1,572.5,8.2,8.3,64,9,16,55,0.15,2.35,1.37,0.55,4.87,58.57,18.15,50.71,0.35,150.11,121.7,3.7,151.0,Urban
1649500,38.96025,-76.925972,20,2.28,188.1,1,100.0,11.7,0.81,4,1.36,47.3,241.6,63.23,22.45,8.58,5.22,0.0,0.0,4.25,3.08,0.0,62.92,24.62,5.59,0.18,4.83,0.0,2155.4,367.7,3.1,8.3,65,9,7,55,0.15,2.93,1.41,1.08,4.09,56.76,21.81,43.91,0.33,154.96,65.9,3.2,145.6,Urban
1654000,38.812891,-77.228316,22,2.36,60.7,1,100.0,11.0,0.92,3,1.68,28.3,131.9,74.23,10.65,15.12,0.0,0.0,0.0,1.65,0.22,1.65,72.14,24.77,0.38,0.05,2.45,0.0,1949.4,414.0,0.0,8.3,45,9,7,55,0.14,2.22,1.35,0.42,5.44,58.31,22.2,43.72,0.32,152.21,105.4,3.1,145.7,Urban
1656903,38.88239,-77.431905,18,2.52,10.9,1,95.6,11.7,0.9,2,1.21,27.0,162.6,71.89,28.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.7,12.74,1.73,0.15,0.54,0.0,1686.3,363.5,0.6,8.3,64,9,11,55,0.13,2.8,1.45,0.69,4.85,38.06,22.43,52.51,0.34,146.87,111.4,2.1,241.9,Urban
1658000,38.596139,-77.056028,13,1.61,143.7,1,100.0,10.0,0.78,3,1.23,39.8,341.1,67.2,13.53,18.19,0.0,0.0,0.0,0.7,0.06,0.0,27.98,46.85,9.35,0.27,11.96,0.0,1105.0,223.8,14.5,8.3,65,9,4,55,0.14,3.88,1.42,1.2,3.43,57.92,18.89,44.32,0.37,167.71,54.8,1.4,197.8,Urban
1658500,38.587343,-77.428596,9,2.74,19.3,1,100.0,10.1,0.94,2,1.14,27.8,116.2,71.72,28.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56,82.4,2.03,0.0,7.93,0.0,175.7,43.8,1.4,8.3,45,9,7,55,0.12,2.43,1.35,0.32,5.55,56.94,28.13,33.4,0.29,153.17,104.6,3.3,158.7,Undeveloped
1659000,38.565121,-77.425818,8,1.64,15.0,1,100.0,10.4,0.64,1,1.51,28.7,127.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,82.49,2.01,0.0,10.19,0.0,172.0,46.6,0.6,8.3,45,9,11,55,0.14,2.07,1.41,0.38,5.82,47.24,29.33,47.36,0.35,153.39,104.2,3.3,152.8,Undeveloped
1667500,38.350408,-77.974997,16,1.81,1209.7,1,76.1,10.6,0.59,5,2.16,46.9,401.9,60.18,23.4,7.15,7.19,2.09,0.0,1.74,2.61,0.08,6.23,56.59,35.7,0.41,0.26,0.1,2978.4,854.4,28.0,8.3,64,9,16,55,0.14,2.69,1.37,0.51,5.43,50.69,27.83,43.21,0.28,151.87,263.4,10.4,118.6,Other
1668000,38.308462,-77.529153,18,1.62,4135.0,1,64.5,10.9,0.66,6,1.49,45.1,290.2,61.3,19.25,9.97,3.97,4.63,0.62,1.98,9.86,0.15,5.72,54.91,35.4,0.5,0.95,0.18,2468.2,703.5,28.0,8.3,64,9,16,55,0.14,2.61,1.38,0.52,5.3,48.59,26.89,44.6,0.3,147.72,202.3,8.0,119.6,Other
1671020,37.85014,-77.427759,26,1.1,1200.5,1,83.1,9.8,0.74,5,1.38,43.4,617.3,59.72,19.13,10.79,2.94,7.05,0.0,1.25,321.16,0.08,4.81,57.23,19.7,4.51,2.65,0.05,1356.9,391.8,11.0,8.3,45,9,7,55,0.14,2.31,1.41,0.42,5.49,51.64,31.73,39.49,0.31,162.31,105.7,3.3,125.6,Undeveloped
1673000,37.767642,-77.332202,28,1.47,2796.3,1,61.0,9.4,0.84,5,1.52,43.2,1111.8,59.68,17.76,9.2,9.12,3.88,0.0,2.22,141.01,0.14,5.01,57.85,20.02,2.21,4.48,0.03,1563.6,449.1,17.6,8.3,45,9,7,55,0.14,2.34,1.41,0.44,5.37,53.32,32.01,36.66,0.3,168.63,100.7,3.1,122.8,Other
1674500,37.887916,-77.163031,17,1.21,1554.8,1,79.7,9.3,0.9,5,2.3,43.5,999.2,61.45,14.07,9.54,7.47,5.91,0.0,2.7,11.11,0.0,6.6,56.83,13.92,0.72,9.08,0.18,1083.4,300.4,22.8,8.3,65,9,7,55,0.12,4.1,1.42,0.45,4.96,57.54,22.69,30.63,0.25,173.29,67.0,2.6,109.7,Other
2035000,37.67098,-78.085833,20,0.93,16207.1,1,85.3,11.4,0.86,8,2.25,46.8,257.5,61.91,17.5,8.8,6.09,1.67,2.68,1.51,28.72,0.09,6.41,76.54,14.27,0.71,0.4,0.01,1020.1,299.0,8.6,8.4,67,11,11,49,0.13,3.38,1.39,0.51,5.63,45.8,29.17,41.89,0.27,144.24,420.9,13.7,129.5,Other
