Station,Error Reason
01658000.csv,Not enough valid data for 00935 (only 0 points)
01658000.csv,Not enough valid data for 00945 (only 0 points)
01658000.csv,Not enough valid data for 00955 (only 0 points)
01667500.csv,Not enough valid data for 00605 (only 0 points)
01667500.csv,Not enough valid data for 00681 (only 0 points)
01667500.csv,Not enough valid data for 00955 (only 0 points)
01671020.csv,Not enough valid data for 00605 (only 1 points)
01671020.csv,Not enough valid data for 00681 (only 0 points)
01671020.csv,Not enough valid data for 00955 (only 1 points)
02116500.csv,Not enough valid data for 00681 (only 0 points)
02177000.csv,Not enough valid data for 00618 (only 1 points)
02177000.csv,Not enough valid data for 00681 (only 0 points)
02177000.csv,Not enough valid data for 00915 (only 1 points)
02177000.csv,Not enough valid data for 00925 (only 1 points)
02177000.csv,Not enough valid data for 00930 (only 1 points)
02177000.csv,Not enough valid data for 00935 (only 1 points)
02177000.csv,Not enough valid data for 00940 (only 1 points)
02177000.csv,Not enough valid data for 00945 (only 1 points)
02177000.csv,Not enough valid data for 00955 (only 0 points)
02177000.csv,Not enough valid data for 71846 (only 1 points)
02177000.csv,Not enough valid data for 80154 (only 1 points)
02198500.csv,Not enough valid data for 00681 (only 0 points)
02203603.csv,Not enough valid data for 00681 (only 0 points)
02203655.csv,Not enough valid data for 00681 (only 0 points)
02203700.csv,Not enough valid data for 00681 (only 0 points)
02207385.csv,Not enough valid data for 00405 (only 1 points)
02207385.csv,Not enough valid data for 00618 (only 0 points)
02207385.csv,Not enough valid data for 00681 (only 0 points)
02207385.csv,Not enough valid data for 00930 (only 0 points)
02207385.csv,Not enough valid data for 00935 (only 0 points)
02207385.csv,Not enough valid data for 00940 (only 0 points)
02207385.csv,Not enough valid data for 00945 (only 0 points)
02207385.csv,Not enough valid data for 00955 (only 0 points)
02215000.csv,Not enough valid data for 00618 (only 0 points)
02215000.csv,Not enough valid data for 00681 (only 0 points)
02215000.csv,Not enough valid data for 00915 (only 0 points)
02215000.csv,Not enough valid data for 00925 (only 0 points)
02215000.csv,Not enough valid data for 00930 (only 0 points)
02215000.csv,Not enough valid data for 00935 (only 0 points)
02215000.csv,Not enough valid data for 00940 (only 0 points)
02215000.csv,Not enough valid data for 00945 (only 0 points)
02215000.csv,Not enough valid data for 00955 (only 0 points)
02215000.csv,Not enough valid data for 71846 (only 0 points)
02215000.csv,Not enough valid data for 80154 (only 0 points)
02269160.csv,Not enough valid data for 00010 (only 0 points)
02269160.csv,Not enough valid data for 00095 (only 0 points)
02269160.csv,Not enough valid data for 00300 (only 0 points)
02269160.csv,Not enough valid data for 00400 (only 0 points)
02269160.csv,Not enough valid data for 00405 (only 0 points)
02269160.csv,Not enough valid data for 00600 (only 0 points)
02269160.csv,Not enough valid data for 00605 (only 0 points)
02269160.csv,Not enough valid data for 00618 (only 0 points)
02269160.csv,Not enough valid data for 00660 (only 0 points)
02269160.csv,Not enough valid data for 00665 (only 0 points)
02269160.csv,Not enough valid data for 00681 (only 0 points)
02269160.csv,Not enough valid data for 00915 (only 0 points)
02269160.csv,Not enough valid data for 00925 (only 0 points)
02269160.csv,Not enough valid data for 00930 (only 0 points)
02269160.csv,Not enough valid data for 00935 (only 0 points)
02269160.csv,Not enough valid data for 00940 (only 0 points)
02269160.csv,Not enough valid data for 00945 (only 0 points)
02269160.csv,Not enough valid data for 00955 (only 0 points)
02269160.csv,Not enough valid data for 71846 (only 0 points)
02270500.csv,Not enough valid data for 00405 (only 0 points)
02270500.csv,Not enough valid data for 00618 (only 0 points)
02270500.csv,Not enough valid data for 00681 (only 0 points)
02270500.csv,Not enough valid data for 00915 (only 0 points)
02270500.csv,Not enough valid data for 00925 (only 0 points)
02270500.csv,Not enough valid data for 00930 (only 0 points)
02270500.csv,Not enough valid data for 00935 (only 0 points)
02270500.csv,Not enough valid data for 00940 (only 0 points)
02270500.csv,Not enough valid data for 00945 (only 0 points)
02270500.csv,Not enough valid data for 00955 (only 0 points)
02274005.csv,Not enough valid data for 00405 (only 0 points)
02274005.csv,Not enough valid data for 00618 (only 0 points)
02274005.csv,Not enough valid data for 00681 (only 0 points)
02274005.csv,Not enough valid data for 00915 (only 0 points)
02274005.csv,Not enough valid data for 00925 (only 0 points)
02274005.csv,Not enough valid data for 00930 (only 0 points)
02274005.csv,Not enough valid data for 00935 (only 0 points)
02274005.csv,Not enough valid data for 00940 (only 0 points)
02274005.csv,Not enough valid data for 00945 (only 0 points)
02274005.csv,Not enough valid data for 00955 (only 0 points)
02274010.csv,Not enough valid data for 00405 (only 0 points)
02274010.csv,Not enough valid data for 00618 (only 0 points)
02274010.csv,Not enough valid data for 00681 (only 0 points)
02274010.csv,Not enough valid data for 00915 (only 0 points)
02274010.csv,Not enough valid data for 00925 (only 0 points)
02274010.csv,Not enough valid data for 00930 (only 0 points)
02274010.csv,Not enough valid data for 00935 (only 0 points)
02274010.csv,Not enough valid data for 00940 (only 0 points)
02274010.csv,Not enough valid data for 00945 (only 0 points)
02274010.csv,Not enough valid data for 00955 (only 0 points)
02307359.csv,Not enough valid data for 00681 (only 1 points)
02307359.csv,Not enough valid data for 80154 (only 0 points)
02310947.csv,Not enough valid data for 80154 (only 0 points)
02314500.csv,Not enough valid data for 80154 (only 0 points)
02336240.csv,Not enough valid data for 00681 (only 0 points)
02336360.csv,Not enough valid data for 00681 (only 0 points)
02338500.csv,Not enough valid data for 00618 (only 0 points)
02338500.csv,Not enough valid data for 00681 (only 0 points)
02338500.csv,Not enough valid data for 00915 (only 0 points)
02338500.csv,Not enough valid data for 00925 (only 0 points)
02338500.csv,Not enough valid data for 00930 (only 0 points)
02338500.csv,Not enough valid data for 00935 (only 0 points)
02338500.csv,Not enough valid data for 00940 (only 0 points)
02338500.csv,Not enough valid data for 00945 (only 0 points)
02338500.csv,Not enough valid data for 00955 (only 0 points)
02338500.csv,Not enough valid data for 71846 (only 0 points)
02338500.csv,Not enough valid data for 80154 (only 0 points)
02338660.csv,Not enough valid data for 00618 (only 0 points)
02338660.csv,Not enough valid data for 00681 (only 0 points)
02338660.csv,Not enough valid data for 00915 (only 0 points)
02338660.csv,Not enough valid data for 00925 (only 0 points)
02338660.csv,Not enough valid data for 00930 (only 0 points)
02338660.csv,Not enough valid data for 00935 (only 0 points)
02338660.csv,Not enough valid data for 00940 (only 0 points)
02338660.csv,Not enough valid data for 00945 (only 0 points)
02338660.csv,Not enough valid data for 00955 (only 0 points)
02338660.csv,Not enough valid data for 71846 (only 0 points)
02338660.csv,Not enough valid data for 80154 (only 0 points)
02349605.csv,Not enough valid data for 00618 (only 0 points)
02349605.csv,Not enough valid data for 00681 (only 0 points)
02349605.csv,Not enough valid data for 00915 (only 0 points)
02349605.csv,Not enough valid data for 00925 (only 0 points)
02349605.csv,Not enough valid data for 00930 (only 0 points)
02349605.csv,Not enough valid data for 00935 (only 0 points)
02349605.csv,Not enough valid data for 00940 (only 0 points)
02349605.csv,Not enough valid data for 00945 (only 0 points)
02349605.csv,Not enough valid data for 00955 (only 0 points)
02349605.csv,Not enough valid data for 71846 (only 0 points)
02349605.csv,Not enough valid data for 80154 (only 0 points)
02356000.csv,Not enough valid data for 00618 (only 0 points)
02356000.csv,Not enough valid data for 00681 (only 1 points)
02356000.csv,Not enough valid data for 00915 (only 1 points)
02356000.csv,Not enough valid data for 00925 (only 1 points)
02356000.csv,Not enough valid data for 00930 (only 1 points)
02356000.csv,Not enough valid data for 00935 (only 1 points)
02356000.csv,Not enough valid data for 00940 (only 1 points)
02356000.csv,Not enough valid data for 00945 (only 1 points)
02356000.csv,Not enough valid data for 00955 (only 1 points)
02356000.csv,Not enough valid data for 71846 (only 1 points)
02356000.csv,Not enough valid data for 80154 (only 0 points)
