STATION_ID,LAT_GAGE,LNG_GAGE,60,runoff,pr,sph,srad,tmmn,tmmx,pet,etr,ph,Conduc,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,distNTN,LAI,FAPAR,NPP,HYDRO_DISTURB_INDX,BAS_COMPACTNESS,DRAIN_SQKM,GEOL_REEDBUSH_DOM,GEOL_REEDBUSH_DOM_PCT,SNOW_PCT_PRECIP,STREAMS_KM_SQ_KM,STRAHLER_MAX,MAINSTEM_SINUOUSITY,BFI_AVE,CONTACT,PCT_1ST_ORDER,PCT_2ND_ORDER,PCT_3RD_ORDER,PCT_4TH_ORDER,PCT_5TH_ORDER,PCT_6TH_ORDER_OR_MORE,DDENS_2009,STOR_NOR_2009,NPDES_MAJ_DENS,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,WOODYWETNLCD06,EMERGWETNLCD06,NITR_APP_KG_SQKM,PHOS_APP_KG_SQKM,PESTAPP_KG_SQKM,ECO2_BAS_DOM,ECO3_BAS_DOM,NUTR_BAS_DOM,HLR_BAS_DOM_100M,PNV_BAS_DOM,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,CLAYAVE,SILTAVE,KFACT_UP,RFACT,ELEV_MEAN_M_BASIN,SLOPE_PCT,ASPECT_DEGREES,Cluster
7047942,35.144534,-90.878449,736.4983809,0.472922347,3.470183002,0.008783624,191.720741,283.7115243,295.0720705,3.620290431,4.77327207,4.85157324,15.66136273,0.209747868,0.036128161,0.045972789,0.156472233,0.284860792,1.266932044,0.250782346,1.457831653,165858.8978,134.9703717,94.92178427,158.1297133,26,1.27,1390.7,6,70.2,4.6,0.93,5,1.54,27.8,4935.2,57.32,19.63,8.97,2.51,3.47,0,0.93,2.1,0.07,5.36,9.1,76.28,2.39,6.56,0.15,6414.1,959.7,267.8,8.5,73,10,3,61,0.18,0.78,1.47,0.4,1.74,60,20.67,72.11,0.48,310.8,76.9,0.5,261.8,1
7048550,36.05397,-94.08326,176.8989545,0.497389103,3.463383635,0.00830737,187.5354234,281.6789579,293.4516444,3.417739192,4.51264476,5.340749791,13.26687682,0.428396475,0.038427406,0.048646046,0.144233882,0.482514459,1.407415368,0.215980435,1.479216554,44732.96915,248.7655343,143.7266987,234.7808621,12,1.56,317.6,1,100,5.8,0.98,4,1.64,32.3,99.8,64.07,14.31,8.71,12.48,0,0,0.94,1.04,0,12.68,60.01,23.47,0.19,0.73,0,4460.6,1349.6,1.5,8.4,38,11,16,45,0.11,1.95,1.42,0.95,5.92,42.55,29.51,36.92,0.22,296.13,484.2,10.5,319.2,6
7048600,36.073134,-94.081313,584.7758616,0.505522641,3.588722572,0.00830916,187.4500658,281.6748322,293.2434493,3.437598489,4.562975333,5.340749791,13.26687682,0.428396475,0.038427406,0.048646046,0.144233882,0.482514459,1.407415368,0.215980435,1.479216554,44010.83679,263.4426609,147.158203,237.5157883,13,1.24,1033,1,100,5.7,0.87,5,1.45,29.4,61.2,63.03,17.38,5.79,12.76,0.46,0,0.48,4.38,0,6.21,69.43,20.7,0.25,0.67,0.01,3387.5,1017.7,1.4,8.4,38,11,16,45,0.11,1.97,1.42,0.95,5.96,42.3,29.46,36.67,0.22,301.63,513.6,13.7,354.7,6
7050500,36.425992,-93.623192,582.6971625,0.38059436,3.342482028,0.008101451,187.9914335,281.6340362,293.3706366,3.550584712,4.773019675,5.34432269,13.68293879,0.445096689,0.040994075,0.05007573,0.145432899,0.497989001,1.46302618,0.217659754,1.537994927,90094.07193,264.3547146,152.6198974,247.4661692,13,1.69,1367.2,1,100,6,0.84,5,1.98,33.3,58,60.15,14.15,10.35,14.04,0.76,0,0.37,0.58,0.07,4.12,67.46,25.81,0.06,0.28,0,3451.1,1012.3,1.6,8.4,39,11,9,45,0.11,1.84,1.4,0.9,5.91,46.2,34.68,39.8,0.26,263.57,483.2,12.5,317.2,6
7052152,37.147139,-93.375472,65.10154292,0.44548416,3.169906178,0.007721967,184.6462071,280.6093752,292.5628216,3.47136941,4.688025112,5.396564676,13.79585299,0.508659357,0.04240243,0.047047526,0.144661394,0.519514891,1.504301674,0.212120648,1.552483591,140476.8551,152.3014063,77.05433323,196.4360568,26,2.61,130.5,1,100,8,0.43,3,1.58,35.8,376.6,58.06,11.12,13.44,0,0,0,0,0,1.53,79.48,7.97,11.17,0.04,0.28,0,2625.5,591.7,4.1,8.4,39,11,9,45,0.13,1.47,1.42,0.54,4.18,59.76,39.7,48.64,0.31,231.77,391.5,1.5,222.7,6
7052250,37.006583,-93.364667,533.7707665,0.396520534,3.198581249,0.007768196,184.8851872,280.398579,292.4979155,3.419440978,4.594046666,5.168927615,14.23889247,0.409875575,0.042473663,0.053295525,0.139609572,0.403939435,1.403075564,0.205482627,1.496970885,131205.1778,201.9972657,130.3561051,228.0162559,21,1.93,1202.1,1,100,8.6,0.94,4,1.66,36.2,258.8,67.03,14.78,6.61,8.02,0,0,1.08,3.48,0.25,21.94,29.61,46.15,0.15,0.46,0,4327.2,1028.2,7.6,8.4,39,11,9,39,0.1,1.59,1.38,0.47,4.34,58.81,39.32,43.32,0.31,227.75,414.5,3.4,249.2,6
7052345,36.974889,-93.327889,276.3773545,0.368475661,3.220298782,0.007765233,185.5433039,280.0049263,292.3354025,3.363797272,4.500498202,5.168425319,14.23783874,0.409495148,0.042473367,0.05329597,0.139717662,0.403553674,1.401799449,0.205708883,1.496653282,128309.0545,214.2673591,137.2808097,234.185028,15,1.11,669.8,1,100,9,1.07,5,1.31,37.5,276.6,66.13,14.84,8.5,2.7,6.67,0,0.6,0.2,0.15,8.08,35.16,54.97,0.03,0.36,0,4459.9,1079.7,7.9,8.4,39,11,9,39,0.09,1.67,1.37,0.47,4.6,57.49,39.63,41.75,0.3,225.74,428.1,4.6,242,6
7052500,36.805392,-93.461575,1120.186118,0.389398686,3.199496389,0.007742652,185.3162336,280.2396364,292.5645754,3.418412822,4.591293388,5.346895273,13.71424814,0.452094283,0.041350356,0.049777552,0.144987002,0.497276255,1.463088097,0.215558954,1.53330129,117583.8425,210.4314582,134.9703063,230.9844988,19,1.39,2568.9,1,100,8.5,0.99,6,1.85,37.2,231.9,65.99,14.67,7.41,5.48,3.62,0.54,0.7,1.69,0.16,13.92,32.6,51.23,0.12,0.44,0,4378.3,1062.7,7.6,8.4,39,11,9,39,0.1,1.64,1.38,0.5,4.56,57.64,39.31,42.65,0.31,230.66,409.1,4.2,229.8,6
7053250,36.45444,-93.35611,53.59822277,0.351676833,3.163664775,0.007784946,187.3810442,281.1436828,293.6299734,3.583359825,4.836084173,5.148178413,14.45786461,0.394338913,0.042168679,0.054889942,0.143951785,0.400256221,1.411349168,0.213419938,1.507054584,102214.7144,230.8574457,147.6052484,240.3894192,9,1.93,136.1,1,100,6.2,0.87,4,1.44,36.8,143.2,65.06,14,10,10.94,0,0,0,0,0,5.33,22.48,70.09,0.01,0.14,0,8909.1,2648.9,3.2,8.4,39,11,9,45,0.11,1.7,1.38,0.7,5.62,52.48,36.05,40.51,0.29,242.83,394.5,5.5,68.3,6
7056000,35.983175,-92.747553,1120.079468,0.465353609,3.454968702,0.008011864,188.158638,281.565447,293.2158086,3.587033587,4.847219469,5.109644651,14.35691174,0.358182526,0.04123944,0.055458167,0.148128983,0.384788831,1.380951791,0.219371387,1.492978621,70618.03623,278.864123,152.6112194,245.3421249,9,2.03,2149.4,1,100,6.5,0.96,5,2.19,29.1,40.1,64.22,15.63,7.59,8.7,3.1,0,0.28,0.22,0,3.17,83.24,11.24,0.1,0.14,0,784.1,210.1,0.6,8.4,38,11,16,45,0.11,1.89,1.41,0.84,5.93,45.85,31.76,37.31,0.24,274,446.4,16.9,65.5,6
