staid,00010_kge,00010_r2,00010_pbias,00095_kge,00095_r2,00095_pbias,00300_kge,00300_r2,00300_pbias,00400_kge,00400_r2,00400_pbias,00405_kge,00405_r2,00405_pbias,00600_kge,00600_r2,00600_pbias,00605_kge,00605_r2,00605_pbias,00618_kge,00618_r2,00618_pbias,00660_kge,00660_r2,00660_pbias,00665_kge,00665_r2,00665_pbias,00681_kge,00681_r2,00681_pbias,00915_kge,00915_r2,00915_pbias,00925_kge,00925_r2,00925_pbias,00930_kge,00930_r2,00930_pbias,00935_kge,00935_r2,00935_pbias,00940_kge,00940_r2,00940_pbias,00945_kge,00945_r2,00945_pbias,00955_kge,00955_r2,00955_pbias,71846_kge,71846_r2,71846_pbias,80154_kge,80154_r2,80154_pbias
01421618,0.9406808,0.898,1.328,,,,,,,,,,,,,,,,,,,0.60067326,0.45,4.991,0.32042545,0.307,3.411,0.20929132,0.155,14.179,0.59693795,0.477,4.487,0.6697292,0.563,2.083,0.54989916,0.461,2.274,0.4200797,0.304,2.121,0.38356563,0.239,0.426,0.21492822,0.243,4.627,0.26295295,0.195,1.139,0.6577943,0.569,4.15,,,,0.07683771,0.208,19.971
01422738,0.9132846,0.874,5.688,,,,,,,,,,,,,,,,,,,0.46793157,0.433,9.478,0.46151507,0.194,3.741,0.27364358,0.194,30.184,0.5245826,0.29,3.283,0.7177051,0.55,4.133,0.7007582,0.534,3.804,0.6751566,0.594,6.023,0.3503087,0.192,3.193,0.4751518,0.363,7.246,0.2779295,0.086,6.734,0.38702977,0.313,5.363,,,,,,
01422747,0.9095219,0.852,0.358,,,,,,,,,,,,,,,,,,,0.7026506,0.557,5.869,0.034080584,0.06,12.251,0.22760618,0.372,15.987,0.6828526,0.547,1.851,0.5194166,0.314,1.191,0.39351797,0.237,1.029,0.6475773,0.561,2.317,0.41448766,0.24,0.32,0.4560554,0.378,0.7,0.019265328,0.034,0.402,0.65779954,0.571,3.116,,,,,,
143400680,0.929547,0.896,4.297,,,,,,,,,,,,,,,,,,,0.6962337,0.603,0.739,0.24322997,0.12,0.203,0.21350773,0.201,2.861,0.63334864,0.601,9.611,0.4242679,0.3,1.804,0.6587582,0.465,2.456,0.36622575,0.225,1.872,0.2632739,0.197,2.915,0.16889548,0.074,1.562,0.7581148,0.588,2.054,0.56903756,0.389,3.752,,,,,,
01434021,0.894398,0.887,8.314,,,,,,,,,,,,,,,,,,,0.53453684,0.416,8.646,0.3096906,0.108,1.862,0.49105138,0.101,14.749,0.8444513,0.816,6.112,0.6908456,0.507,8.518,0.71013623,0.566,6.342,0.5770557,0.381,5.887,0.04913742,0.057,0.531,0.1809412,0.072,9.229,0.7540743,0.624,10.435,0.8652997,0.908,6.992,,,,,,
01434025,0.9264766,0.882,0.082,,,,,,,,,,,,,,,,,,,0.51915526,0.418,1.943,0.016751636,0.026,0.66,0.4551957,0.269,19.018,0.72119105,0.67,2.262,0.6673933,0.502,0.161,0.71125984,0.525,0.976,0.51311845,0.363,1.067,0.27891514,0.193,2.687,0.43652713,0.319,0.529,0.8958418,0.815,0.811,0.7875144,0.689,3.191,,,,,,
01435000,0.934764,0.877,1.139,,,,,,,,,,,,,,,,,,,0.6701456,0.563,1.203,0.2301673,0.147,5.353,0.2536724,0.374,12.173,0.67568904,0.733,1.362,0.23974262,0.226,1.942,0.24592037,0.253,2.496,0.50280833,0.35,2.891,0.39334643,0.312,0.739,0.47431532,0.393,1.159,0.7570188,0.689,1.922,0.70432496,0.802,0.73,,,,,,
01463500,0.93869436,0.906,2.022,0.3026598,0.246,0.465,0.7379623,0.593,1.566,-0.16491874,0.021,0.182,0.36870927,0.379,9.445,0.39656243,0.401,6.291,0.2458583,0.339,14.576,0.07381696,0.051,1.242,0.34123236,0.208,0.268,0.20003854,0.405,16.96,,,,0.23546511,0.143,0.308,0.31012157,0.245,0.563,0.48148826,0.421,3.257,0.27522728,0.123,4.419,0.57800335,0.533,1.553,0.57191634,0.495,2.424,0.39423987,0.394,0.232,0.45971724,0.698,8.067,0.033759944,0.418,45.671
01466500,0.91129166,0.854,0.144,0.60685885,0.557,6.813,0.72453797,0.591,10.137,-1.5493671,0.055,7.683,,,,,,,,,,0.59976256,0.37,4.812,,,,,,,0.82589024,0.722,0.52,0.32331303,0.166,3.644,0.45835844,0.247,4.339,0.108901754,0.06,1.551,0.41444555,0.216,3.317,0.26221523,0.084,0.734,0.5736636,0.554,5.21,0.58377695,0.42,1.926,,,,,,
01472157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01477120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01480617,0.87359333,0.794,0.606,0.5699597,0.407,1.925,0.55792385,0.318,0.21,-0.12768993,0.003,0.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01480870,0.88527745,0.802,0.316,0.56506467,0.473,1.842,0.6200682,0.387,1.648,-0.058410514,0.002,1.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01481000,0.84230405,0.732,0.068,0.62271243,0.485,0.416,0.67714095,0.497,0.747,-0.16166481,0.025,0.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01491000,0.88686454,0.85,2.922,0.56040895,0.52,2.453,0.8063585,0.699,0.129,0.038833845,0.002,0.578,0.146396,0.19,3.432,0.26486447,0.122,1.44,0.5044584,0.414,2.256,0.4048806,0.312,1.911,0.5468885,0.6,4.499,0.6211165,0.621,5.245,0.75061864,0.612,5.734,,,,,,,,,,,,,,,,,,,0.4367029,0.402,2.339,0.5027671,0.416,9.59,0.38017154,0.426,11.394
