staid,00010_kge,00010_r2,00010_pbias,00095_kge,00095_r2,00095_pbias,00300_kge,00300_r2,00300_pbias,00400_kge,00400_r2,00400_pbias,00405_kge,00405_r2,00405_pbias,00600_kge,00600_r2,00600_pbias,00605_kge,00605_r2,00605_pbias,00618_kge,00618_r2,00618_pbias,00660_kge,00660_r2,00660_pbias,00665_kge,00665_r2,00665_pbias,00681_kge,00681_r2,00681_pbias,00915_kge,00915_r2,00915_pbias,00925_kge,00925_r2,00925_pbias,00930_kge,00930_r2,00930_pbias,00935_kge,00935_r2,00935_pbias,00940_kge,00940_r2,00940_pbias,00945_kge,00945_r2,00945_pbias,00955_kge,00955_r2,00955_pbias,71846_kge,71846_r2,71846_pbias,80154_kge,80154_r2,80154_pbias
01331095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01349150,0.30085647,0.82,68.614,-0.26163995,0.276,116.709,0.1333666,0.566,77.853,-6.5987864,0.008,70.585,-0.38130367,0.009,90.341,0.21267526,0.289,59.35,0.23404476,0.056,0.466,0.6335715,0.425,4.358,-0.36504784,0.073,87.707,-0.17039491,0.0,48.21,-0.20053013,0.168,81.977,-1.0207582,0.154,128.093,-0.9344918,0.106,128.569,-0.46777144,0.215,11.159,-0.4711979,0.049,61.375,0.13846532,0.226,64.317,-1.3978186,0.492,235.013,0.12522635,0.052,23.413,-0.48044142,0.0,84.791,-0.17686534,0.015,51.517
01349840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01349950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01357500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5344207,0.168,304.713
01362370,0.7575682,0.82,22.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047224496,0.215,37.649
01364959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01389500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01398000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01421618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01422738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01422747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143400680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01434021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01434025,0.56995445,0.834,42.083,,,,,,,,,,,,,,,,,,,-0.106374316,0.001,2.245,,,,,,,0.53383577,0.56,3.634,-0.9095684,0.045,64.967,-0.43431678,0.069,59.725,0.32024753,0.41,44.173,0.14198731,0.099,9.592,0.3435287,0.257,27.45,-0.60729045,0.058,92.808,0.18735585,0.164,33.084,,,,,,
01435000,0.38662806,0.771,59.119,,,,,,,,,,,,,,,,,,,-0.16533786,0.016,3.608,,,,,,,0.2738616,0.489,66.077,-0.3901158,0.0,46.966,-0.36973178,0.005,45.445,0.32519343,0.214,37.787,-0.14664228,0.015,22.458,0.32538015,0.25,45.251,-1.0761085,0.102,77.094,0.28605428,0.306,28.839,,,,,,
01463500,0.8886264,0.918,9.563,0.04128241,0.018,23.057,0.73898846,0.612,13.805,-0.42330903,0.175,11.167,-0.1027852,0.153,61.25,-0.037294973,0.027,4.101,0.12508431,0.2,32.876,-0.042547233,0.008,5.378,0.26909858,0.266,28.772,-0.04387724,0.156,34.056,0.30800092,0.674,22.85,-0.052918945,0.001,16.82,0.0312892,0.006,20.178,0.1535325,0.151,14.474,0.21794097,0.052,10.69,0.28220475,0.272,23.355,-0.06999334,0.0,30.81,0.27821824,0.229,6.192,-0.20884807,0.001,38.909,-0.57737756,0.052,115.103
01466500,0.4444684,0.725,53.364,-0.024962801,0.345,53.723,0.1603242,0.493,77.138,-1.1303262,0.021,64.295,,,,0.31509447,0.346,10.741,,,,-1.6099044,0.133,220.754,-12531.234,0.0,138.166,0.09679774,0.225,25.423,0.38466713,0.543,1.05,-0.20591499,0.015,81.079,0.013862591,0.555,73.973,-0.3518966,0.528,50.803,-0.19683547,0.0,64.497,-0.20543852,0.057,57.94,-0.3893502,0.517,126.615,0.73330635,0.605,8.865,0.14776216,0.073,15.724,,,
01472157,0.82147205,0.73,0.495,-0.21724966,0.042,10.132,0.5150203,0.371,8.195,-1.833708,0.016,5.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01477120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01480617,0.6433159,0.732,32.41,0.080422945,0.209,58.283,0.46107805,0.344,29.143,-4.078176,0.028,29.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01480870,0.6748007,0.729,29.026,-0.3717127,0.289,72.689,0.27530712,0.114,29.452,-2.7799141,0.0,36.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
