staid,00010_kge,00010_r2,00010_pbias,00095_kge,00095_r2,00095_pbias,00300_kge,00300_r2,00300_pbias,00400_kge,00400_r2,00400_pbias,00405_kge,00405_r2,00405_pbias,00600_kge,00600_r2,00600_pbias,00605_kge,00605_r2,00605_pbias,00618_kge,00618_r2,00618_pbias,00660_kge,00660_r2,00660_pbias,00665_kge,00665_r2,00665_pbias,00681_kge,00681_r2,00681_pbias,00915_kge,00915_r2,00915_pbias,00925_kge,00925_r2,00925_pbias,00930_kge,00930_r2,00930_pbias,00935_kge,00935_r2,00935_pbias,00940_kge,00940_r2,00940_pbias,00945_kge,00945_r2,00945_pbias,00955_kge,00955_r2,00955_pbias,71846_kge,71846_r2,71846_pbias,80154_kge,80154_r2,80154_pbias
01594440,0.89458424,0.803,1.6,0.31967795,0.367,2.605,0.8171076,0.738,0.364,-0.23354629,0.054,0.44,-0.3154597,0.002,7.004,0.85933053,0.786,5.378,0.47308204,0.31,2.803,0.78348714,0.684,10.605,0.54952073,0.733,12.367,0.49240464,0.61,7.139,0.15597329,0.136,2.999,,,,,,,,,,,,,,,,,,,0.35986096,0.339,1.432,0.60479194,0.602,0.699,0.4727164,0.444,4.648
01594526,,,,,,,,,,,,,,,,,,,,,,,,,0.338105,0.281,11.073,0.34355575,0.384,13.571,,,,,,,,,,,,,,,,,,,,,,0.39602348,0.414,3.292,0.16354927,0.194,14.226,,,
01604500,0.845498,0.832,8.444,0.5095358,0.309,7.12,0.75240964,0.605,2.662,-0.5088693,0.031,3.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01608500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01611500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01614500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01616500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01621050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01631000,0.9322792,0.917,1.442,0.37389377,0.313,5.146,0.6700908,0.552,1.404,-0.086674504,0.002,0.902,,,,0.57330555,0.555,1.111,,,,,,,0.37280467,0.411,13.429,0.374811,0.562,8.783,,,,,,,,,,,,,,,,,,,,,,,,,0.25043494,0.282,0.571,0.5059313,0.568,5.024
01634000,0.9295339,0.917,0.81,0.49415553,0.43,1.496,0.6925308,0.555,1.786,-0.12134172,0.015,0.727,,,,0.51903486,0.502,0.545,,,,,,,0.6540443,0.631,10.201,0.4352018,0.501,12.207,,,,,,,,,,,,,,,,,,,,,,,,,0.32689205,0.298,4.868,0.44737694,0.576,7.203
01645704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01645762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01646305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01649190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01649500,0.88353455,0.832,5.501,0.46174347,0.325,5.474,0.61381376,0.48,2.71,-0.3082759,0.073,2.098,,,,,,,,,,0.4822491,0.432,6.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4108337,0.55,24.394
01654000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01656903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01658000,0.79472977,0.816,0.477,0.33550403,0.326,10.114,0.81863374,0.671,1.262,-0.11765262,0.011,2.078,,,,,,,,,,0.37396762,0.345,20.027,0.6057452,0.672,11.005,0.17706504,0.271,8.828,,,,,,,,,,,,,,,,,,,,,,,,,0.2390177,0.345,14.108,0.14467451,0.16,12.029
01658500,0.91233104,0.849,3.317,0.17498948,0.041,1.868,0.63325894,0.402,0.662,-0.17406888,0.044,0.403,,,,0.68375796,0.494,3.851,,,,,,,0.14004381,0.093,19.149,0.6882938,0.54,12.471,,,,,,,,,,,,,,,,,,,,,,,,,0.5775271,0.421,0.862,0.23595344,0.307,18.828
01659000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2162318,0.178,44.141
01667500,0.8496708,0.904,2.27,0.14782102,0.083,1.186,0.6646494,0.502,1.38,-0.5982078,0.165,0.02,,,,0.530388,0.593,4.192,,,,,,,0.5469268,0.49,10.066,0.38218042,0.525,9.51,,,,,,,,,,,,,,,,,,,,,,,,,0.5812312,0.494,15.064,0.32259455,0.59,19.942
01668000,0.89640194,0.87,4.269,0.2814226,0.229,0.864,0.8153076,0.693,0.991,-0.0065416815,0.001,0.323,,,,0.56427974,0.605,4.355,0.3776997,0.635,11.114,0.6234606,0.548,0.983,0.27743375,0.19,6.925,0.32876348,0.517,21.16,0.6410623,0.568,6.993,,,,,,,,,,,,,,,,,,,0.3132482,0.264,0.378,0.28857893,0.255,1.517,0.4265347,0.587,22.406
01671020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01673000,0.92370594,0.88,0.814,0.7851137,0.779,2.483,0.82741135,0.749,0.236,-0.16917333,0.028,1.56,-0.18857658,0.078,31.274,0.19366877,0.121,0.764,0.27831933,0.196,3.501,0.3886857,0.438,2.128,0.6809527,0.582,1.169,0.21539147,0.177,1.372,0.5410834,0.361,5.561,,,,,,,,,,,,,,,,,,,0.28651544,0.238,0.804,0.48250023,0.326,10.515,0.38072136,0.349,8.339
01674500,0.9220917,0.877,1.032,0.23598544,0.232,0.518,0.86547583,0.778,1.078,-0.20049968,0.039,0.35,-0.08752573,0.157,37.006,0.1767512,0.115,3.958,0.021595534,0.026,3.475,0.27348116,0.264,1.492,0.27863553,0.413,17.37,-0.0036153593,0.035,7.149,0.69207454,0.573,4.968,,,,,,,,,,,,,,,,,,,0.28060284,0.146,4.568,0.41566396,0.343,4.822,0.27477774,0.239,9.04
02035000,0.9255739,0.905,3.054,0.68985957,0.557,3.893,0.8041208,0.695,1.83,0.33571818,0.176,1.2,,,,0.38661814,0.415,7.447,0.17335284,0.164,7.848,0.41475853,0.359,8.917,0.4894735,0.263,2.203,0.28447402,0.247,10.42,0.58470654,0.523,7.239,,,,,,,,,,,,,,,,,,,0.1964946,0.102,1.885,0.5302275,0.366,6.429,0.29007012,0.297,15.623
